Program Name,Link,Description,tags
Steam,https://cdn.cloudflare.steamstatic.com/client/installer/SteamSetup.exe,,
Steam Account Manager,,,
Streamio,https://www.strem.io/download?platform=windows&four=true,,
Substance Painter,,,
Swffileplayer,,,
TCP Optimizer,https://www.speedguide.net/files/TCPOptimizer.exe,,
Teamviewer,https://download.teamviewer.com/download/TeamViewer_Setup_x64.exe,,
Torguard,https://torguard.net/downloads/new/torguard-setup-latest.exe,,
Trello,,,
Turtl,,,
Twitch Leecher,,,
Ultimaker Cura,https://github.com/Ultimaker/Cura/releases/download/5.3.0/UltiMaker-Cura-5.3.0-win64.exe,,
Unity,https://public-cdn.cloud.unity3d.com/hub/prod/UnityHubSetup.exe,,
Valorant,https://valorant.secure.dyn.riotcdn.net/channels/public/x/installer/current/live.live.ap.exe,,
Virtualbox,https://download.virtualbox.org/virtualbox/7.0.8/VirtualBox-7.0.8-156879-Win.exe,,
Visual Studio,,,
VLC,https://get.videolan.org/vlc/3.0.18/win32/vlc-3.0.18-win32.exe,,
Vortex,,,
Vpn Unlimited,,,
Vs Code,httpst/stable/704ed70d4fd1c6bd6342c436f1ede30d1cff4710/VSCodeUserSetup-x64-1.77.3.exe,,
Vtuploader,https://github.com/SamuelTulach/VirusTotalUploader/releases/download/0.2.1/vt_setup.msi,,
Waifu2x,,,
Wamp,https://versaweb.dl.sourceforge.net/project/wampserver/WampServer%203/WampServer%203.0.0/wampserver3.3.0_x64.exe,,
Wemod,https://www.wemod.com/download/direct,,
Whiteboard,,,
Yandere Simulator,https://yanderesimulator.com/YandereSimLauncher.zip,,
Zoom,https://zoom.us/client/latest/ZoomInstaller.exe,,
